iter	Logloss
0	0.6027203106
1	0.5497571204
2	0.5007376123
3	0.4556167168
4	0.4170907937
5	0.3859751794
6	0.3699011082
7	0.3548747408
8	0.3399849816
9	0.3233547313
10	0.3157787784
11	0.3031885013
12	0.2962080873
13	0.2903985799
14	0.2804998142
15	0.2744818091
16	0.2706922931
17	0.2627954971
18	0.2594919671
19	0.25931926
20	0.2553733683
21	0.2514425236
22	0.2449130831
23	0.2406913184
24	0.2387759417
25	0.2314585581
26	0.2279463429
27	0.225156267
28	0.219161619
29	0.2164678122
30	0.215196416
31	0.2132075943
32	0.211212148
33	0.2076162789
34	0.2069586961
35	0.2046635484
36	0.2019984397
37	0.2007950642
38	0.1971868972
39	0.1956794264
40	0.1939271454
41	0.1924753438
42	0.1915729917
43	0.1906600172
44	0.189383356
45	0.1890188859
46	0.1870332954
47	0.1858575714
48	0.184755593
49	0.1835550788
50	0.1827218961
51	0.181287185
52	0.1803786644
53	0.1791822835
54	0.1783686961
55	0.1764203127
56	0.1753366422
57	0.17459437
58	0.1731420609
59	0.17255569
60	0.1709566036
61	0.1700456539
62	0.1682970834
63	0.1679626547
64	0.1676196019
65	0.1663254627
66	0.1646070112
67	0.1627739555
68	0.1607939949
69	0.1597443776
70	0.1586575734
71	0.1584520582
72	0.1567181619
73	0.1555818956
74	0.1551023216
75	0.1539421549
76	0.1533955181
77	0.1526813592
78	0.151523123
79	0.1512612566
80	0.1504123411
81	0.1502139445
82	0.1500807741
83	0.1485333285
84	0.1483302287
85	0.1476537594
86	0.1462990236
87	0.1459736593
88	0.1456810051
89	0.1449906295
90	0.1443302457
91	0.1429107899
92	0.1423569208
93	0.1411278503
94	0.1405023364
95	0.1399749444
96	0.1388988208
97	0.1377232872
98	0.1360126473
99	0.1359495609
100	0.1358571794
101	0.1353166731
102	0.1348443883
103	0.1338599561
104	0.1335331594
105	0.1331071804
106	0.1328198071
107	0.1319697534
108	0.1312698312
109	0.1302882385
110	0.1299311186
111	0.129723735
112	0.1291467131
113	0.1285895499
114	0.1277194079
115	0.1269937164
116	0.126450217
117	0.1256475544
118	0.1251445956
119	0.1246718731
120	0.1244589518
121	0.1239362782
122	0.1235326792
123	0.1229427406
124	0.1227544466
125	0.1227041462
126	0.1222198447
127	0.1218759618
128	0.1209063904
129	0.1206202869
130	0.1202626948
131	0.1197620045
132	0.1195922725
133	0.1193351914
134	0.1190906893
135	0.1188346274
136	0.1183636015
137	0.1181161096
138	0.1174854122
139	0.1169260064
140	0.1168519436
141	0.1165708788
142	0.1161057093
143	0.1158710209
144	0.1153284183
145	0.1151138491
146	0.1148371297
147	0.1143173207
148	0.1140766159
149	0.1138589095
150	0.1130489242
151	0.1130312231
152	0.1127761176
153	0.1125382075
154	0.1121839991
155	0.1120307229
156	0.1116438985
157	0.1114801821
158	0.1113195588
159	0.1107441955
160	0.110569608
161	0.1104091741
162	0.1100236168
163	0.1098448046
164	0.1096563088
165	0.1095321126
166	0.1091813486
167	0.109106447
168	0.1088392266
169	0.1086848483
170	0.1083129716
171	0.1080831435
172	0.1077641263
173	0.1071097103
174	0.1069866449
175	0.1069662401
176	0.106654427
177	0.1062819485
178	0.1059603643
179	0.1058194821
180	0.1056902649
181	0.1056010761
182	0.1054192739
183	0.1051539977
184	0.1050403803
185	0.1047471576
186	0.1046078613
187	0.1045032097
188	0.1043182747
189	0.1042145261
190	0.1037814318
191	0.1035240113
192	0.1035094348
193	0.1032789757
194	0.1030069545
195	0.1028985439
196	0.1026662536
197	0.102574296
198	0.1023106854
199	0.1022036337
200	0.1020221352
201	0.1019498352
202	0.1018212584
203	0.1017056973
204	0.1016226475
205	0.1015948745
206	0.1015298114
207	0.1012850958
208	0.1011033926
209	0.1010259047
210	0.1009361608
211	0.1008379611
212	0.1006199974
213	0.1004217485
214	0.1002784372
215	0.100204718
216	0.1000783729
217	0.0997688003
218	0.09969002632
219	0.09956021191
220	0.09950057246
221	0.09929188642
222	0.09921584279
223	0.09903331532
224	0.09891625378
225	0.09879686368
226	0.0987640814
227	0.0987522853
228	0.09865889137
229	0.09848943784
230	0.09833287159
231	0.09829359763
232	0.0982411592
233	0.09822515004
234	0.09812391336
235	0.09798584372
236	0.09781103135
237	0.09770263509
238	0.09763313749
239	0.09761191841
240	0.09752471639
241	0.09739638205
242	0.09733098586
243	0.09728071338
244	0.0972487464
245	0.0971211101
246	0.09709779478
247	0.09701529712
248	0.09696095763
249	0.09694600216
250	0.09677284109
251	0.09668045506
252	0.09655508924
253	0.09650928684
254	0.09647098098
255	0.09645169348
256	0.09630585964
257	0.09617265493
258	0.09590476079
259	0.09586967954
260	0.09568632282
261	0.0955162197
262	0.09546875083
263	0.09542195698
264	0.0952658706
265	0.09512614551
266	0.09504182058
267	0.09494347462
268	0.09486044112
269	0.09485406817
270	0.09478878141
271	0.09465373067
272	0.09458296974
273	0.09453328957
274	0.09449217318
275	0.09444257784
276	0.09432601684
277	0.09430972668
278	0.09425532501
279	0.09413604242
280	0.09408830641
281	0.09395125597
282	0.09386451456
283	0.09374932478
284	0.09369349929
285	0.0936230621
286	0.09353566345
287	0.09344652105
288	0.09338004459
289	0.09330632202
290	0.09317655118
291	0.0931531
292	0.0930460024
293	0.09296818115
294	0.0929000041
295	0.09281564393
296	0.09278048275
297	0.09269842741
298	0.09257756569
299	0.09247026358
300	0.09237374547
301	0.09228254989
302	0.09221205224
303	0.09214499267
304	0.09201520249
305	0.09196812584
306	0.09192057335
307	0.09188330361
308	0.09179719495
309	0.09175679128
310	0.09169751178
311	0.09163295968
312	0.09160511903
313	0.09157331494
314	0.0915137463
315	0.09150390384
316	0.09148891482
317	0.09144864823
318	0.09139347327
319	0.09134656087
320	0.09129600065
321	0.09125863403
322	0.09123457925
323	0.0911987313
324	0.09113749008
325	0.09107969462
326	0.09102537859
327	0.09092068046
328	0.09088862778
329	0.09082853301
330	0.09078925276
331	0.09078932166
332	0.09076278153
